Company,Country,Sector,Industry
Aluminum Corp of China,China,Materials,Aluminum
Mercantil Servicios,Venezuela,Financials,Regional Banks
Halkbank,Turkey,Financials,Regional Banks
Guangzhou R&F,China,Financials,Real Estate
Tesla,United States,Consumer Discretionary,
Tokyu,Japan,Industrials,Railroads
Neste Oil,Finland,Energy,Oil & Gas Operations
CMS Energy,United States,Utilities,Electric Utilities
Conagra Brands,United States,,
China Shipbuilding Industry,China,Industrials,Heavy Equipment
Jeronimo Martins,Portugal,Consumer Staples,Food Retail
Fairfax Financial,Canada,Financials,Property & Casualty Insurance
Westfield,Australia,,
Keyence,Japan,Information Technology,Electronics
Banque Saudi Fransi,Saudi Arabia,Financials,Regional Banks
Towngas,Hong Kong,Energy,
Galaxy Entertainment,Hong Kong,Consumer Discretionary,Casinos & Gaming
WR Berkley,United States,Financials,Property & Casualty Insurance
CapitaLand,Singapore,Financials,Real Estate
Shimizu,Japan,Industrials,Construction Services
Snam,Italy,Energy,
VakifBank,Turkey,Financials,Regional Banks
Baker Hughes,United States,Energy,Oil Services & Equipment
Onex,Canada,Financials,Investment Services
Publicis Groupe,France,Consumer Discretionary,Advertising
St. James's Place,United Kingdom,,
Hershey,United States,Consumer Staples,Food Processing
CenterPoint Energy,United States,Utilities,Natural Gas Utilities
HCL Technologies,India,Information Technology,Software & Programming
Riyad Bank,Saudi Arabia,Financials,Regional Banks
TUI,Germany,Consumer Discretionary,Business & Personal Services
BOE Technology Group,China,Information Technology,Electronics
UC Rusal,Russia,Materials,Aluminum
Idemitsu Kosan,Japan,Energy,Oil & Gas Operations
WestRock,United States,,
Deutsche Wohnen,Germany,,
Public Storage,United States,Financials,Real Estate
Mebuki Financial Group,Japan,Financials,
Comerica,United States,Financials,Regional Banks
Voya Financial,United States,Financials,
Arch Capital Group,Bermuda,Financials,Property & Casualty Insurance
Daito Trust Construction,Japan,Industrials,Construction Services
Fiserv,United States,Information Technology,Software & Programming
Ventas,United States,Financials,Real Estate
CBRE Group,United States,Financials,Real Estate
Huadian Power International,China,Utilities,Electric Utilities
Markel,United States,Financials,Diversified Insurance
Fidelity National Financial,United States,Financials,Property & Casualty Insurance
Inpex,Japan,Energy,Oil & Gas Operations
Leucadia National,United States,Industrials,Conglomerates
China Coal Energy,China,Materials,Diversified Metals & Mining
Ultrapar Participacoes,Brazil,,
Bank Of Hangzhou,China,Financials,
Electronic Arts,United States,Information Technology,
Fortive,United States,Industrials,
CP All,Thailand,Consumer Discretionary,Specialty Stores
Amphenol,United States,Information Technology,Electronics
Regeneron Pharmaceuticals,United States,Health Care,Biotechs
Mediobanca,Italy,Financials,Regional Banks
Asahi Glass,Japan,Materials,Construction Materials
Universal Health,United States,Health Care,Healthcare Services
Mediatek,Taiwan,Information Technology,Semiconductors
Singapore Airlines,Singapore,Industrials,Airline
Banco BTG Pactual Participations,Bermuda,,
Suntory Beverage & Food,Japan,Consumer Staples,
Shanghai Pharmaceuticals,China,Health Care,Drug Retail
Netflix,United States,Consumer Discretionary,Internet & Catalog Retail
CGI Group,Canada,Information Technology,Computer Services
Gap,United States,Consumer Discretionary,Apparel/Footwear Retail
Hankyu Hanshin Holdings,Japan,Industrials,Railroads
Dr Pepper Snapple Group,United States,Consumer Staples,Beverages
Cincinnati Financial,United States,Financials,Diversified Insurance
Dongbu Insurance,South Korea,Financials,Property & Casualty Insurance
Power Assets Holdings,Hong Kong,Utilities,Electric Utilities
Bank of East Asia,Hong Kong,Financials,Regional Banks
Harris,United States,Information Technology,Communications Equipment
YPF,Argentina,Energy,
Finatis,France,Consumer Staples,Food Retail
Nielsen,United States,,
Novolipetsk Steel,Russia,Materials,Iron & Steel
Kuwait Finance House,Kuwait,Financials,Regional Banks
China Grand Automotive Services,China,Consumer Discretionary,
EnBW-Energie Baden,Germany,Utilities,Electric Utilities
Dubai Islamic Bank,United Arab Emirates,Financials,Regional Banks
Hikvision,China,Information Technology,Electronics
Navient,United States,Financials,
South32,Australia,Materials,
Tokyo Electron,Japan,Information Technology,Semiconductors
BDO Unibank,Philippines,Financials,
Kohl's,United States,Consumer Discretionary,Department Stores
MTN Group,South Africa,Telecommunication Services,Telecommunications services
WW Grainger,United States,Industrials,Electrical Equipment
Severstal,Russia,Materials,Iron & Steel
Sun Pharma Industries,India,Health Care,Pharmaceuticals
Weichai Power,China,Industrials,Heavy Equipment
Arrow Electronics,United States,Information Technology,Electronics
Grupa PZU,Poland,Financials,Property & Casualty Insurance
PTT Global Chemical,Thailand,Materials,Diversified Chemicals
Bank Leumi,Israel,Financials,Major Banks
China Resources Pharmaceutical Group,Hong Kong,Health Care,
Geely Automobile Holdings,Hong Kong,,
Insurance Australia Group,Australia,Financials,Property & Casualty Insurance
E-Trade Financial,United States,Financials,Investment Services
Nintendo,Japan,Consumer Discretionary,Consumer Electronics
Stora Enso,Finland,Materials,Paper & Paper Products
BBMG,China,Materials,Construction Materials
Seagate Technology,Ireland,Information Technology,Computer Storage Devices
TDK,Japan,Information Technology,Electronics
Uni-President,Taiwan,Consumer Staples,Food Processing
Rockwell Automation,United States,Industrials,Other Industrial Equipment
Henry Schein,United States,Health Care,Medical Equipment & Supplies
Meiji Holdings,Japan,Consumer Staples,Food Processing
Intuit,United States,Information Technology,Software & Programming
Lixil Group,Japan,Materials,Construction Materials
London Stock Exchange,United Kingdom,Financials,Investment Services
Amadeus IT Group,Spain,Information Technology,
Arconic,United States,Materials,
Zoetis,United States,Health Care,Pharmaceuticals
Helvetia Holding,Switzerland,Financials,Diversified Insurance
Advanced Semiconductor,Taiwan,Information Technology,Semiconductors
Yamaha Motor,Japan,Consumer Discretionary,Recreational Products
Alleghany,United States,Financials,Property & Casualty Insurance
Crown Castle International,United States,Telecommunication Services,Telecommunications services
ZTE,China,Information Technology,Communications Equipment
Grupo Inbursa,Mexico,Financials,Regional Banks
Inter Rao,Russia,Utilities,Electric Utilities
Newmont Mining,United States,Materials,Diversified Metals & Mining
AES,United States,Utilities,Electric Utilities
Oneok,United States,Energy,Oil Services & Equipment
Schroders,United Kingdom,Financials,Investment Services
C.H. Robinson,United States,Consumer Discretionary,
Quest Diagnostics,United States,Health Care,Healthcare Services
Mitsubishi UFJ Lease,Japan,Financials,Rental & Leasing
Expedia,United States,,
Boston Properties,United States,Financials,Real Estate
Beijing Enterprises,Hong Kong,Utilities,Natural Gas Utilities
Restaurant Brands International,Canada,,
Analog Devices,United States,Information Technology,Semiconductors
Liberty Expedia Holdings,United States,,
KPN,Netherlands,Telecommunication Services,Telecommunications services
GS Holdings,South Korea,Energy,Oil & Gas Operations
OTP Bank,Hungary,Financials,Regional Banks
Roper Industries,United States,Industrials,Other Industrial Equipment
Host Hotels & Resorts,United States,Financials,Real Estate
Asustek Computer,Taiwan,Information Technology,Computer Hardware
Interpublic Group,United States,Consumer Discretionary,Advertising
QuintilesIMS,United States,,
Tata Steel,India,Materials,Iron & Steel
Bankinter,Spain,Financials,Regional Banks
Campbell Soup,United States,Consumer Staples,Food Processing
Osaka Gas,Japan,Utilities,Natural Gas Utilities
First Financial Holding,Taiwan,Financials,Investment Services
Lotte Shopping,South Korea,Consumer Discretionary,Department Stores
Vienna Insurance Group,Austria,Financials,Diversified Insurance
SMC,Japan,Financials,
Investec,United Kingdom,Financials,Investment Services
Power Finance,India,Consumer Discretionary,Business & Personal Services
Voestalpine,Austria,Materials,Iron & Steel
Hydro One,Canada,Utilities,
Whole Foods Market,United States,Consumer Staples,Food Retail
Japan Exchange Group,Japan,Financials,Investment Services
Fortum,Finland,Utilities,Electric Utilities
Grupo Bimbo,Mexico,Consumer Staples,Food Processing
Alrosa,Russia,Materials,Diversified Metals & Mining
China National Building,China,Materials,Construction Materials
Saputo,Canada,Consumer Staples,Food Processing
Shanghai Construction,China,Industrials,Construction Services
Mondi,United Kingdom,Materials,Paper & Paper Products
Shin Kong Financial,Taiwan,Financials,Life & Health Insurance
SDIC Power Holdings,China,Energy,Oil & Gas Operations
Land Securities Group,United Kingdom,Financials,Real Estate
China Hongqiao Group,China,Materials,Diversified Metals & Mining
Clorox,United States,Consumer Staples,Household/Personal Care
Cielo,Brazil,Consumer Discretionary,Business & Personal Services
Assurant,United States,Financials,Diversified Insurance
TCL Corp,China,Consumer Discretionary,Consumer Electronics
Wuliangye Yibin,China,Consumer Staples,Beverages
Thai Beverage,Thailand,Consumer Staples,Beverages
Zions Bancorp,United States,Financials,Regional Banks
National Oilwell Varco,United States,Energy,Oil Services & Equipment
Flextronics International,Singapore,Information Technology,Electronics
Hainan Airlines,China,Industrials,Airline
Yanzhou Coal Mining,China,Materials,Diversified Metals & Mining
Shanghai Electric Group,China,Industrials,Heavy Equipment
Xiamen C&D,China,Industrials,Trading Companies
Lend Lease Group,Australia,Financials,Real Estate
T Rowe Price,United States,Financials,Investment Services
Pgnig Group,Poland,Energy,Oil & Gas Operations
Galp Energia,Portugal,Energy,Oil & Gas Operations
Shenzhen Overseas,China,Consumer Discretionary,Hotels & Motels
Kerry Group,Ireland,Consumer Staples,Food Processing
Celanese,United States,Materials,Diversified Chemicals
Experian,Ireland,Consumer Discretionary,Business & Personal Services
Legrand,France,Industrials,Electrical Equipment
Datang International Power,China,Utilities,Electric Utilities
HCP,United States,Financials,Real Estate
SES,Luxembourg,Consumer Discretionary,Broadcasting & Cable
AGNC Investment,United States,Financials,
Bank of Tianjin,China,Financials,
Phoenix Group Holdings,United Kingdom,Financials,Life & Health Insurance
Harbin Bank,China,Financials,Regional Banks
Alaska Air Group,United States,Industrials,Airline
Cenovus Energy,Canada,Energy,Oil & Gas Operations
Apache,United States,Energy,Oil & Gas Operations
Delta Electronics,Taiwan,Information Technology,Electronics
Electrolux Group,Sweden,Consumer Discretionary,Household Appliances
Hyundai Marine & Fire,South Korea,Financials,Property & Casualty Insurance
Korea Gas,South Korea,Utilities,Natural Gas Utilities
Keppel,Singapore,,
Wm Morrison Supermarkets,United Kingdom,Consumer Staples,Food Retail
AntarChile,Chile,Financials,Investment Services
SGS,Switzerland,Consumer Discretionary,Business & Personal Services
Hyundai Engineering,South Korea,Industrials,Construction Services
Toppan Printing,Japan,Consumer Discretionary,Printing & Publishing
Actelion,Switzerland,Health Care,Pharmaceuticals
Bank of Baroda,India,Financials,Regional Banks
Canadian Tire,Canada,Consumer Discretionary,Specialty Stores
Intuitive Surgical,United States,Health Care,Medical Equipment & Supplies
Punjab National Bank,India,Financials,Regional Banks
Charoen Pokphand Foods,Thailand,Consumer Staples,Food Processing
Renesas Electronics,Japan,Information Technology,Semiconductors
JG Summit Holdings,Philippines,Financials,
Ball,United States,Materials,Containers & Packaging
Olympus,Japan,Consumer Discretionary,Consumer Electronics
Sun Art Retail Group,Hong Kong,Consumer Discretionary,Specialty Stores
BCI-Banco Credito,Chile,Financials,Regional Banks
CDW,United States,Information Technology,
Hesteel,China,Materials,
Brown-Forman,United States,Consumer Staples,Beverages
Sika,Switzerland,Materials,Construction Materials
Hoya,Japan,Information Technology,Electronics
SVB Financial Group,United States,Financials,Regional Banks
Genworth Financial,United States,Financials,Diversified Insurance
Cerner,United States,Health Care,Healthcare Services
Foot Locker,United States,Consumer Discretionary,Apparel/Footwear Retail
Mitsubishi Materials,Japan,Materials,Diversified Metals & Mining
Interactive Brokers Group,United States,Financials,Investment Services
Monster Beverage,United States,Consumer Staples,Beverages
Dover,United States,Industrials,Conglomerates
Intact Financial,Canada,Financials,Property & Casualty Insurance
Global Logistic Properties,Singapore,Financials,Real Estate
Skyworks Solutions,United States,Utilities,
Terna,Italy,Utilities,Electric Utilities
Tokyo Century,Japan,,
Autoliv,Sweden,Consumer Discretionary,Auto & Truck Parts
Hindalco Industries,India,Materials,Aluminum
Advance Auto Parts,United States,Consumer Discretionary,Specialty Stores
Ayala,Philippines,Industrials,Conglomerates
Paychex,United States,Consumer Discretionary,Business & Personal Services
Rockwell Collins,United States,Industrials,Aerospace & Defense
Oriental Land,Japan,Consumer Discretionary,Hotels & Motels
Industrial Alliance Insurance,Canada,Financials,Life & Health Insurance
Attijariwafa Bank,Morocco,Financials,Regional Banks
American Water Works,United States,Utilities,Diversified Utilities
Motorola Solutions,United States,Information Technology,Communications Equipment
United Rentals,United States,Financials,Rental & Leasing
Norwegian Cruise Line Holdings,United States,Financials,
Harley-Davidson,United States,Consumer Discretionary,Recreational Products
Hess,United States,Energy,Oil & Gas Operations
Masraf Al Rayan,Qatar,Financials,Regional Banks
Jiangsu Yanghe Brewery,China,Consumer Staples,Beverages
Grifols,Spain,Health Care,Biotechs
Orient Securities,China,,
Mitsubishi Motors,Japan,Consumer Discretionary,Auto & Truck Manufacturers
Origin Energy,Australia,Utilities,Electric Utilities
Qantas Airways,Australia,Industrials,Airline
Advanced Info Service,Thailand,Telecommunication Services,Telecommunications services
Pentair,United Kingdom,Industrials,Other Industrial Equipment
Industries Qatar,Qatar,Materials,Specialized Chemicals
Nitto Denko,Japan,Materials,Diversified Chemicals
Arab National Bank,Saudi Arabia,Financials,Regional Banks
Zijin Mining Group,China,Materials,Diversified Metals & Mining
Ricoh,Japan,Industrials,Business Products & Supplies
Xerox,United States,Industrials,Business Products & Supplies
Tenet Healthcare,United States,Health Care,Healthcare Services
SCANA,United States,Utilities,Electric Utilities
Jiangxi Copper,China,Materials,Diversified Metals & Mining
Givaudan,Switzerland,Materials,Specialized Chemicals
Liberty Broadband,United States,,
Chiba Bank,Japan,Financials,Major Banks
Everbright Securities,China,Financials,
Smith & Nephew,United Kingdom,Health Care,Medical Equipment & Supplies
UCB,Belgium,Health Care,Pharmaceuticals
Industrivarden,Sweden,Financials,Investment Services
PVH,United States,Consumer Discretionary,Apparel/Accessories
ALFA,Mexico,Industrials,Conglomerates
Avnet,United States,Information Technology,Electronics
Lundbergs,Sweden,Financials,Real Estate
NRG Energy,United States,Utilities,Electric Utilities
Shionogi,Japan,Health Care,
Csc Financial,China,Financials,
New York Community,United States,Financials,Thrifts & Mortgage Finance
Naver,South Korea,Information Technology,
LARGAN Precision,Taiwan,,
Yum China Holdings,United States,Financials,
Banco De Venezuela,Venezuela,Financials,
CJ Corp,South Korea,Consumer Staples,Food Processing
CA,United States,Information Technology,Software & Programming
Top Frontier Investment Holdings,Philippines,Financials,
Qatar Islamic Bank,Qatar,Financials,Regional Banks
Canara Bank,India,Financials,Major Banks
Mosaic,United States,Materials,Specialized Chemicals
Shinsei Bank,Japan,Financials,Regional Banks
Braskem,Brazil,Materials,Specialized Chemicals
Rural Electrification,India,Financials,Investment Services
Alexion Pharmaceuticals,United States,Health Care,Biotechs
Aramark,United States,,
Bank of Zhengzhou,China,Financials,
Manpower,United States,Consumer Discretionary,Business & Personal Services
Yes Bank,India,Financials,
Dexia,Belgium,Financials,Major Banks
Masco,United States,Materials,Construction Materials
Torchmark,United States,Financials,Life & Health Insurance
Proximus,Belgium,Telecommunication Services,
X5 Retail Group,Netherlands,Consumer Staples,Food Retail
RSA Insurance Group,United Kingdom,Financials,Property & Casualty Insurance
Air Canada,Canada,Industrials,Airline
KLA-Tencor,United States,Information Technology,Semiconductors
Valeant Pharmaceuticals,Canada,Health Care,Pharmaceuticals
3i Group,United Kingdom,,
Bank of India,India,Financials,Regional Banks
Check Point Software,Israel,Information Technology,Software & Programming
Taiwan Cooperative Financial,Taiwan,Financials,Consumer Financial Services
Community Health Systems,United States,Health Care,
Huntington Ingalls Industries,United States,Industrials,
PGE Polska Grupa Energetyczna,Poland,,
Sekisui Chemical,Japan,Industrials,Construction Services
Brenntag,Germany,Materials,Specialized Chemicals
Bombardier,Canada,Industrials,Aerospace & Defense
Coty,United States,Industrials,
Genting,Malaysia,Consumer Discretionary,Casinos & Gaming
Bank Of Guiyang,China,Financials,
PotashCorp,Canada,,
W&W-Wüstenrot,Germany,,
Sojitz,Japan,Industrials,Trading Companies
Darden Restaurants,United States,Consumer Discretionary,Restaurants
Sunac China Holdings,China,,
Unicharm,Japan,Consumer Staples,Household/Personal Care
Ctrip.com International,China,,
Jyske Bank,Denmark,Financials,Regional Banks
China Life Insurance (Taiwan),Taiwan,Financials,Life & Health Insurance
Dai Nippon Printing,Japan,Consumer Discretionary,Printing & Publishing
CIT Group,United States,Financials,Consumer Financial Services
IndusInd Bank,India,Financials,
Banca MPS,Italy,Financials,Major Banks
Bed Bath & Beyond,United States,Consumer Discretionary,Specialty Stores
Bank of Chongqing,China,Financials,Regional Banks
Marathon Oil,United States,Energy,Oil & Gas Operations
East West Bancorp,United States,Financials,Regional Banks
Nitori Holdings,Japan,Financials,
Yamato Holdings,Japan,Industrials,Trucking
Cosco Shipping,China,,
SKF Group,Sweden,Industrials,Other Industrial Equipment
GAIL India,India,Utilities,Natural Gas Utilities
PulteGroup,United States,Industrials,Construction Services
Signature Bank,United States,Financials,Regional Banks
AGL Energy,Australia,Utilities,Electric Utilities
Latam Airlines,Chile,Industrials,Airline
AutoNation,United States,Consumer Discretionary,Specialty Stores
Doosan,South Korea,Industrials,Construction Services
Transocean,Switzerland,Energy,Oil Services & Equipment
Hua Nan Financial,Taiwan,Financials,Consumer Financial Services
KT&G,South Korea,Consumer Staples,Tobacco
LKQ,United States,Consumer Discretionary,Auto & Truck Parts
Equity Residential,United States,Financials,Real Estate
Amorepacific,South Korea,,
Iida Group Holdings,Japan,,
Gecina,France,Financials,Real Estate
Edwards Lifesciences,United States,Health Care,Medical Equipment & Supplies
Medipal Holdings,Japan,Health Care,Pharmaceuticals
Bunzl,United Kingdom,Consumer Discretionary,Business & Personal Services
El Puerto de Liverpool,Mexico,Consumer Discretionary,Department Stores
Vicinity Centres,Australia,,
Delta Lloyd,Netherlands,Financials,Diversified Insurance
Eisai,Japan,Health Care,Pharmaceuticals
Marks & Spencer,United Kingdom,Consumer Discretionary,Department Stores
Pioneer Natural Resources,United States,Energy,Oil & Gas Operations
Arab Bank,Jordan,Financials,Regional Banks
Foncière des Régions,France,,
Sino-Ocean Land Holdings,China,Financials,Real Estate
Nippon Express,Japan,Industrials,Trucking
Dxc Technology,United States,Information Technology,
Nordstrom,United States,Consumer Discretionary,Department Stores
Pandora,Denmark,Consumer Staples,Household/Personal Care
GKN,United Kingdom,Consumer Discretionary,Auto & Truck Parts
Ajinomoto,Japan,Consumer Staples,Food Processing
BNK Financial Group,South Korea,Financials,
Founder Securities,China,,
Vedanta Resources,United Kingdom,Materials,Diversified Metals & Mining
Petronas Chemicals,Malaysia,Materials,Specialized Chemicals
Magnitogorsk Iron & Steel,Russia,Materials,Iron & Steel
Cintas,United States,,
Dassault Systemes,France,Information Technology,Software & Programming
Quinenco,Chile,Industrials,Conglomerates
Nippon Yusen,Japan,Industrials,Other Transportation
BRF,Brazil,Consumer Staples,
Hasbro,United States,Consumer Discretionary,
Illumina,United States,Health Care,Biotechs
Kawasaki Heavy Industries,Japan,Industrials,Heavy Equipment
Digital Realty Trust,United States,,
Alcoa,United States,Materials,Aluminum
Chugoku Electric Power,Japan,Utilities,Electric Utilities
Koito Manufacturing,Japan,Industrials,
AmTrust Financial Services,United States,Financials,
Juniper Networks,United States,Information Technology,Communications Equipment
United Utilities,United Kingdom,Utilities,Diversified Utilities
Red Eléctrica,Spain,Utilities,
RusHydro,Russia,Utilities,Electric Utilities
Kobe Steel,Japan,Materials,Iron & Steel
Wyndham Worldwide,United States,Consumer Discretionary,Hotels & Motels
MOL Hungarian Oil,Hungary,Energy,Oil & Gas Operations
Cathay Pacific Airways,Hong Kong,Industrials,Airline
JetBlue Airways,United States,Industrials,
Agilent Technologies,United States,Information Technology,Electronics
Wolters Kluwer,Netherlands,Consumer Discretionary,Printing & Publishing
Arkema,France,Materials,Diversified Chemicals
Ezdan Holding Group,Qatar,Financials,Real Estate
JSW Steel,India,Materials,Iron & Steel
Electric Power Development,Japan,Utilities,Electric Utilities
Hexagon,Sweden,Industrials,Other Industrial Equipment
Ahli United Bank,Bahrain,Financials,Regional Banks
Kerry Properties,Hong Kong,,
Yuanta Financial Holding,Taiwan,Financials,Investment Services
Airports of Thailand,Thailand,Industrials,Other Transportation
CR Bard,United States,Health Care,Medical Equipment & Supplies
Hanwha Chemical,South Korea,Materials,Diversified Chemicals
Noble Group,Hong Kong,Industrials,Conglomerates
Frontier Communications,United States,Telecommunication Services,Telecommunications services
Ulta Salon Cosmetcs & Fragrance,United States,Consumer Discretionary,
Crown Holdings,United States,Materials,Containers & Packaging
Kintetsu,Japan,Industrials,Railroads
Starwood Property Trust,United States,,
Arthur J. Gallagher,United States,,
Johnson Matthey,United Kingdom,Materials,Diversified Chemicals
UGI,United States,Utilities,Natural Gas Utilities
Grupo Televisa,Mexico,Consumer Discretionary,Broadcasting & Cable
JB Hunt Transport,United States,Industrials,Trucking
Iliad,France,Information Technology,Computer Services
Next,United Kingdom,Consumer Discretionary,Apparel/Footwear Retail
Arca Continental,Mexico,Consumer Staples,Beverages
Uralkali,Russia,Materials,Specialized Chemicals
Xilinx,United States,Information Technology,Semiconductors
AAC Technologies Holdings,China,,
Gudang Garam,Indonesia,Consumer Staples,Tobacco
Banco Davivienda,Colombia,Financials,Regional Banks
Mead Johnson Nutrition,United States,Consumer Staples,Household/Personal Care
Essex Property Trust,United States,,
Amcor,Australia,Materials,Containers & Packaging
Financiere de l'Odet,France,Industrials,Conglomerates
DCC,Ireland,Industrials,Conglomerates
Geberit,Switzerland,Materials,Construction Materials
Alfresa Holdings,Japan,Health Care,Pharmaceuticals
Mitsui OSK Lines,Japan,Industrials,Other Transportation
ICA Gruppen,Sweden,Consumer Discretionary,Printing & Publishing
E.Sun Financial,Taiwan,Financials,Consumer Financial Services
Fluor,United States,Industrials,Construction Services
Saudi Arabian Mining,Saudi Arabia,Materials,Diversified Metals & Mining
Partners Group Holding,Switzerland,,
Mashreq Bank,United Arab Emirates,Financials,Regional Banks
Noble Energy,United States,Energy,Oil & Gas Operations
Caltex Australia,Australia,Energy,Oil & Gas Operations
Bank Audi,Lebanon,Financials,Regional Banks
LG Household & Health Care,South Korea,Health Care,
Colruyt,Belgium,Consumer Staples,Food Retail
Focus Media Information Technology,China,Information Technology,
OMRON,Japan,Information Technology,Electronics
Tenaris,Luxembourg,Energy,Oil Services & Equipment
Old Republic International,United States,Financials,Property & Casualty Insurance
Fukuoka Financial Group,Japan,Financials,Regional Banks
Baiyin Nonferrous Group,China,,
Dentsply Sirona,United States,,
Tractor Supply,United States,Consumer Discretionary,Specialty Stores
Grupo Carso,Mexico,Industrials,Conglomerates
Materials Industry Zhongda Group,China,,
Almarai,Saudi Arabia,Consumer Staples,Food Processing
Open Text,Canada,,
RHB Bank,Malaysia,Financials,
Targa Resources,United States,Energy,
Taylor Wimpey,United Kingdom,Industrials,
Banca Mediolanum,Italy,,
Expeditors International,United States,Industrials,Air Courier
Inner Mongolia Baotou Steel,Mongolia,Materials,Iron & Steel
Metro,Canada,,
Stockland Australia,Australia,Financials,Real Estate
Olam International,Singapore,Consumer Staples,Food Processing
Pinnacle West,United States,Utilities,Electric Utilities
Chang Hwa Bank,Taiwan,Financials,Regional Banks
Samsung SDS,South Korea,Information Technology,
Brambles,Australia,Consumer Discretionary,Business & Personal Services
Verisk Analytics,United States,Consumer Discretionary,Business & Personal Services
Sealed Air,United States,Materials,Containers & Packaging
Union Bank of India,India,Financials,Regional Banks
British Land,United Kingdom,Financials,Real Estate
Seiko Epson,Japan,Industrials,Business Products & Supplies
Barratt Developments,United Kingdom,,
NSK,Japan,Industrials,Other Industrial Equipment
Equifax,United States,Consumer Discretionary,Business & Personal Services
Transurban Group,Australia,,
Perrigo,Ireland,Health Care,Pharmaceuticals
Rite Aid,United States,Consumer Staples,Drug Retail
Coloplast,Denmark,Health Care,Medical Equipment & Supplies
Newcrest Mining,Australia,Materials,Diversified Metals & Mining
China Merchants Holdings,Hong Kong,Industrials,Other Transportation
Dassault Aviation,France,Industrials,Aerospace & Defense
UBI Banca,Italy,Financials,Regional Banks
Bajaj Auto,India,Consumer Discretionary,Recreational Products
Sabesp,Brazil,Utilities,Diversified Utilities
Steel Dynamics,United States,Materials,
Ramsay Health Care,Australia,Health Care,
Equinix,United States,,
Coach,United States,Consumer Discretionary,Apparel/Accessories
Cosmo Energy Holdings,Japan,,
ISS,Denmark,,
Coca-Cola HBC,Switzerland,Consumer Staples,Beverages
Goodman Group,Australia,,
Aeroports de Paris,France,Industrials,Other Transportation
E-mart,South Korea,Consumer Discretionary,Discount Stores
RiseSun Real Estate Development,China,Materials,
China National Chemical,China,Industrials,Construction Services
Acciona,Spain,Industrials,Construction Services
Fastenal,United States,Consumer Discretionary,Home Improvement Retail
Hyundai Glovis,South Korea,Industrials,Other Transportation
Hanesbrands,United States,Consumer Discretionary,Apparel/Accessories
Penske Automotive,United States,Consumer Discretionary,Specialty Stores
Shoprite Holdings,South Africa,Consumer Staples,Food Retail
Gjensidige Forsikring,Norway,Financials,Property & Casualty Insurance
McCormick,United States,Consumer Staples,
Shanghai Commercial & Savings Bank,Taiwan,Financials,
Shiseido,Japan,Consumer Staples,Household/Personal Care
AVIC Capita,China,,
Melco International Development,Hong Kong,,
Citrix Systems,United States,Information Technology,Software & Programming
Goldcorp,Canada,Materials,Diversified Metals & Mining
Realty Income,United States,,
AECOM Technology,United States,Industrials,
ITV,United Kingdom,Consumer Discretionary,Broadcasting & Cable
Cheniere Energy,United States,Energy,
Banco Popular Espanol,Spain,Financials,Regional Banks
Agile Property Holdings,China,Financials,Real Estate
NCC Group,Sweden,Industrials,Construction Services
Oji Holdings,Japan,Materials,Paper & Paper Products
Korean Air,South Korea,Industrials,Airline
Hong Leong Financial,Malaysia,Financials,Investment Services
Smurfit Kappa Group,Ireland,Materials,Paper & Paper Products
Abu Dhabi Islamic Bank,United Arab Emirates,Financials,Regional Banks
Hyosung,South Korea,Materials,Diversified Metals & Mining
Aozora Bank,Japan,Financials,Major Banks
Ashtead Group,United Kingdom,,
Storebrand,Norway,Financials,Diversified Insurance
Persimmon,United Kingdom,,
Ingredion,United States,Consumer Staples,Food Processing
KB Insurance,South Korea,,
Sistema,Russia,Telecommunication Services,Telecommunications services
Taishin Financial Holdings,Taiwan,Financials,Investment Services
Yamaguchi Financial,Japan,Financials,Regional Banks
Mizrahi Tefahot Bank,Israel,Financials,Regional Banks
Meritz Financial Group,South Korea,Financials,
Kangmei Pharmaceutical,China,Health Care,
IHI,Japan,Industrials,Heavy Equipment
Scripps Networks Interactive,United States,Consumer Discretionary,Broadcasting & Cable
Hang Lung Group,Hong Kong,Financials,Real Estate
Waters,United States,,Precision Healthcare Equipment
SEIBU,Japan,Consumer Discretionary,
China Longyuan Power,China,Utilities,Diversified Utilities
Adient,Ireland,Energy,
Blom Bank,Lebanon,Financials,Regional Banks
Hokuhoku Financial Group,Japan,Financials,Regional Banks
Jiangsu Hengrui Medicine,China,Financials,
Ametek,United States,Industrials,Electrical Equipment
STMicroelectronics,Switzerland,Information Technology,Semiconductors
Dangote Cement,Nigeria,Materials,Construction Materials
SDIC Essence,China,,
Wärtsilä,Finland,,
Oi,Brazil,Telecommunication Services,Telecommunications services
Maxim Integrated Products,United States,Information Technology,Semiconductors
Chow Tai Fook Jewellery,Hong Kong,Consumer Discretionary,Apparel/Accessories
Shimano,Japan,Consumer Discretionary,Recreational Products
Bank Muscat,Oman,Financials,Regional Banks
Concordia Financial Group,Japan,Financials,
Thai Oil,Thailand,Energy,Oil & Gas Operations
Axiata Group,Malaysia,Information Technology,Communications Equipment
Turkish Airlines,Turkey,Industrials,Airline
Moscow Exchange,Russia,Financials,
Adani Ports & Special Economic Zone,India,,
News Corp,United States,Consumer Discretionary,Broadcasting & Cable
Metalurgica Gerdau,Brazil,Materials,Iron & Steel
Packaging Corp of America,United States,,
Oceanwide Holdings,China,Financials,
China Communications Services,China,Telecommunication Services,Telecommunications services
Hertz Global Holdings,United States,Financials,Rental & Leasing
