Company,Country,Sector,Industry
Kyocera,Japan,Information Technology,Electronics
Garanti Bank,Turkey,Financials,Regional Banks
China Unicom,Hong Kong,Telecommunication Services,Telecommunications services
CIC Group,France,Financials,Major Banks
Kubota,Japan,Industrials,Heavy Equipment
Isbank,Turkey,Financials,Regional Banks
Astellas Pharma,Japan,Health Care,Pharmaceuticals
CNOOC,Hong Kong,Energy,Oil & Gas Operations
Simon Property Group,United States,Financials,Real Estate
ASML Holding,Netherlands,Information Technology,Semiconductors
British Sky Broadcasting,United Kingdom,Consumer Discretionary,Broadcasting & Cable
Cummins,United States,Industrials,Heavy Equipment
China Zheshang Bank,China,Utilities,
Standard Chartered,United Kingdom,Financials,Major Banks
Tokyo Electric Power,Japan,Utilities,Electric Utilities
Cognizant Technology,United States,Information Technology,Computer Services
Viacom,United States,Consumer Discretionary,Broadcasting & Cable
Sasol,South Africa,Materials,Diversified Chemicals
Public Service Enterprise Group,United States,Energy,
Coal India,India,Materials,Diversified Metals & Mining
Novatek,Russia,Energy,Oil & Gas Operations
Kirin Holdings,Japan,Consumer Staples,Beverages
T&D Holdings,Japan,Financials,Life & Health Insurance
Mitsui,Japan,Financials,
Regions Financial,United States,Financials,Regional Banks
Ingersoll Rand,Ireland,,
CenturyLink,United States,Telecommunication Services,Telecommunications services
Bank of Nanjing,China,Financials,Regional Banks
Dongfeng Motor Group,China,Consumer Discretionary,Auto & Truck Manufacturers
Citizens Financial Group,United States,Financials,
Swire Pacific,Hong Kong,Industrials,Conglomerates
RELX Group,United Kingdom,Information Technology,
Samsung Fire & Marine,South Korea,Financials,Property & Casualty Insurance
Associated British Foods,United Kingdom,Consumer Staples,Food Processing
Standard Life,United Kingdom,Financials,Life & Health Insurance
Ally Financial,United States,Financials,
Møller-Maersk,Denmark,,
Ecopetrol,Colombia,Energy,Oil & Gas Operations
National Bank of Canada,Canada,Financials,Major Banks
Sumitomo Electric,Japan,Consumer Discretionary,Auto & Truck Parts
Shire,Ireland,Health Care,Pharmaceuticals
Akzo Nobel,Netherlands,Materials,Diversified Chemicals
Bank Central Asia,Indonesia,Financials,Regional Banks
Marubeni,Japan,Industrials,Trading Companies
DTE Energy,United States,Utilities,Electric Utilities
Koç Holding,Turkey,Financials,
Unum,United States,Financials,
Best Buy,United States,Information Technology,Computer & Electronics Retail
Atlas Copco,Sweden,Industrials,Other Industrial Equipment
MTR,Hong Kong,Industrials,Railroads
Suncorp Group,Australia,Financials,Diversified Insurance
Emirates NBD,United Arab Emirates,Financials,Regional Banks
LG Chem,South Korea,Materials,Specialized Chemicals
QBE Insurance Group,Australia,Financials,Property & Casualty Insurance
Northern Trust,United States,Financials,Regional Banks
CME Group,United States,Financials,Investment Services
Otsuka Holding,Japan,Health Care,Pharmaceuticals
Altice,Netherlands,Telecommunication Services,
American Tower,United States,Financials,Real Estate
Sinopharm Group,China,Health Care,Pharmaceuticals
Falabella,Chile,Consumer Discretionary,Department Stores
Bharat Petroleum,India,Energy,Oil & Gas Operations
Newell Brands,United States,Consumer Discretionary,
Akbank,Turkey,Financials,Regional Banks
Norilsk Nickel,Russia,Materials,Diversified Metals & Mining
Atlantia,Italy,Industrials,Other Transportation
Tesco,United Kingdom,Consumer Staples,Food Retail
MGM Resorts,United States,Consumer Discretionary,Casinos & Gaming
Dollar Tree,United States,Consumer Discretionary,Discount Stores
GFNorte,Mexico,Financials,Regional Banks
Broadcom,Singapore,Information Technology,Semiconductors
Woori Bank,South Korea,Financials,
Guotai Junan Securities,China,,
Constellation Brands,United States,Consumer Staples,Beverages
Royal Caribbean Cruises,United States,Consumer Discretionary,Hotels & Motels
Air Products & Chemicals,United States,Materials,Specialized Chemicals
Infosys,India,Information Technology,Computer Services
BYD,China,Consumer Discretionary,Auto & Truck Manufacturers
KeyCorp,United States,Financials,Regional Banks
Johnson Controls International,Ireland,,
Asahi Kasei,Japan,Materials,Diversified Chemicals
New World Development,Hong Kong,Financials,Real Estate
Siam Cement,Thailand,Materials,Specialized Chemicals
Toray Industries,Japan,Materials,Diversified Chemicals
Grupo Mexico,Mexico,Materials,Diversified Metals & Mining
E.ON,Germany,Utilities,Electric Utilities
Dell Technologies,United States,Information Technology,
Nokia,Finland,Information Technology,Communications Equipment
Eletrobrás,Brazil,Utilities,
Legend Holding,China,Financials,
Dollar General,United States,Consumer Discretionary,Discount Stores
Banco de Sabadell,Spain,Financials,Regional Banks
Eversource Energy,United States,Energy,
China Taiping Insurance,Hong Kong,Financials,Diversified Insurance
Hyundai Heavy Industries,South Korea,Industrials,Heavy Equipment
Sekisui House,Japan,Industrials,Construction Services
